Model,MAE,RMSE,MAE_Percentage
Random Forest,0.0001745530448939427,0.0002546697694960992,3.678193856094908
SVR,0.00024089799202750594,0.0003093054356991485,5.0762191788722015
XGBoost,0.00017820325951911677,0.0002531631761878689,3.755111431585502
