Model,MAE,RMSE,MAE_Percentage
Random Forest,0.00018223510447150062,0.00026005559258432355,3.7774984816172723
SVR,0.00021223883022091747,0.0002755691476011505,4.399436986769599
XGBoost,0.00019146910995470595,0.0002653816475921504,3.9689074957762798
