Model,MAE,RMSE,MAE_Percentage
Random Forest,0.00022995103476298507,0.0003451012706054977,3.7714222969032396
SVR,0.0002797672750714657,0.0003702404189323151,4.588457452413382
XGBoost,0.0002532380930571619,0.0003645428179515539,4.153352871690465
