Model,MAE,RMSE,MAE_Percentage
Random Forest,0.00018228956082895763,0.00025668259364264025,3.792336080603037
SVR,0.00020812890999892772,0.0002954246355000494,4.329895640848635
XGBoost,0.00019397245944822883,0.000275675016187088,4.035386081702449
